이름,그룹,소속사,생년월일,키,혈액형,데뷔년도,브랜드평판지수
지민,방탄소년단,빅히트,1995-01-20,174,A,2013,7217872
강다니엘,,커넥트,1996-03-01,180,A,2017,6899570
차은우,아스트로,판타지오,1997-09-20,183,B,2014,6330046
뷔,방탄소년단,빅히트,1995-11-07,179,AB,2013,5197579
정국,방탄소년단,빅히트,1997-12-13,178,A,2013,4584186
진,방탄소년단,빅히트,1992-02-14,178,O,2013,3271942
유정,브레이브걸스,브레이브,1991-05-03,162,AB,2016,3179527
슈가,방탄소년단,빅히트,1993-07-16,174,O,2013,2793291
유나,브레이브걸스,브레이브,1993-12-17,165,A,2016,2723939
은지,브레이브걸스,브레이브,1992-01-16,168,AB,2016,2681253
지드래곤,빅뱅,YG,1988-04-21,172,A,2001,2611306
제이홉,방탄소년단,빅히트,1994-12-10,177,A,2013,2489117
아린,오마이걸,WM,1999-08-19,165,O,2015,2450135
민영,브레이브걸스,브레이브,1990-09-17,165,AB,2016,2378549
제니,블랙핑크,YG,1996-03-23,163,B,2016,2310781
윤두준,하이라이트,어라운드어스,1989-06-25,178,A,2009,2157249
RM,방탄소년단,빅히트,1994-01-15,181,A,2013,2094631
지호,오마이걸,WM,1997-10-19,165,A,2015,1958038
유나,ITZY,JYP,2003-04-11,170,A,2019,1936670
윈터,에스파,SM,2001-02-02,164,A,2020,1932019
카리나,에스파,SM,2000-09-11,167,B,2020,1885968
태연,소녀시대,SM,1989-05-08,160,A,2007,1841157
예지,ITZY,JYP,2000-11-20,167,A,2019,1789378
유리,소녀시대,SM,1989-06-05,167,AB,2007,1788114
JR,뉴이스트,플레디스,1995-11-28,178,O,2012,1749826
